Date,High,Low,Open,Close,Volume,Adj Close
2010-06-29,9.442500114440918,9.08214282989502,9.432857513427734,9.14892864227295,1133344800.0,7.828238010406494
2010-06-30,9.213213920593262,8.92892837524414,9.168213844299316,8.983214378356934,739452000.0,7.686444282531738
2010-07-01,9.100000381469727,8.686429023742676,9.08214282989502,8.874285697937012,1022896000.0,7.593241214752197
2010-07-02,8.961785316467285,8.685714721679688,8.94607162475586,8.81928539276123,693842800.0,7.546181678771973
2010-07-06,9.028571128845215,8.791428565979004,8.964285850524902,8.879642486572266,615235600.0,7.597825527191162
2010-07-07,9.241786003112793,8.919642448425293,8.94607162475586,9.238214492797852,654556000.0,7.90463399887085
2010-07-08,9.389286041259766,9.103214263916016,9.374285697937012,9.217499732971191,738144400.0,7.886909008026123
2010-07-09,9.282142639160156,9.1128568649292,9.174642562866211,9.27214241027832,433322400.0,7.933663368225098
2010-07-12,9.351785659790039,9.102143287658691,9.233214378356934,9.188928604125977,562878400.0,7.862462520599365
2010-07-13,9.157142639160156,8.801071166992188,9.154285430908203,8.992856979370117,1190924000.0,7.694697856903076
2010-07-14,9.135714530944824,8.892857551574707,8.906428337097168,9.026071548461914,812047600.0,7.723114490509033
2010-07-15,9.177499771118164,8.83214282989502,8.865357398986816,8.98035717010498,824866000.0,7.6840009689331055
2010-07-16,9.106071472167969,8.871786117553711,9.042142868041992,8.925000190734863,1039858400.0,7.6366353034973145
2010-07-19,8.924285888671875,8.557143211364746,8.924285888671875,8.77071475982666,1024478000.0,7.504621982574463
2010-07-20,9.032142639160156,8.571785926818848,8.675000190734863,8.996071815490723,1074950800.0,7.697446346282959
2010-07-21,9.469642639160156,9.071428298950195,9.467499732971191,9.079999923706055,1185671200.0,7.769261837005615
2010-07-22,9.285714149475098,9.11821460723877,9.20285701751709,9.250714302062988,645318800.0,7.915330410003662
2010-07-23,9.299285888671875,9.152856826782227,9.181785583496094,9.283571243286133,533388800.0,7.943446159362793
2010-07-26,9.289285659790039,9.20392894744873,9.285714149475098,9.260000228881836,420551600.0,7.923274040222168
2010-07-27,9.45714282989502,9.296428680419922,9.31678581237793,9.431428909301758,584771600.0,8.069958686828613
2010-07-28,9.499643325805664,9.294642448425293,9.41678524017334,9.319999694824219,519985200.0,7.974613189697266
2010-07-29,9.380356788635254,9.146428108215332,9.311071395874023,9.21821403503418,643806800.0,7.887521266937256
2010-07-30,9.274999618530273,9.103571891784668,9.138928413391113,9.1875,448210000.0,7.861241817474365
2010-08-02,9.378213882446289,9.27214241027832,9.30142879486084,9.351785659790039,428055600.0,8.001811981201172
2010-08-03,9.402142524719238,9.265000343322754,9.321785926818848,9.354642868041992,417653600.0,8.004255294799805
2010-08-04,9.438570976257324,9.296785354614258,9.3871431350708,9.392143249511719,420375200.0,8.03634262084961
2010-08-05,9.399285316467285,9.305356979370117,9.34749984741211,9.346428871154785,289097200.0,7.997229099273682
